Metrik,Einheit,Scope/Bereich,1 Zyklus Klassik,1 Zyklus Konzept,10 Zyklen Klassik,10 Zyklen Konzept,20 Zyklen Klassik,20 Zyklen Konzept,30 Zyklen Klassik,30 Zyklen Konzept,1 Zyklus größere Bilddateien Klassik,1 Zyklus größere Bilddateien Konzept
Netzwerkverkehr während des CO2 armen Zeitfensters,Megabyte,global,0,"200,2887",0,"200,2838",0,"200,2825",0,"200,2998",0,"1083,9074"
Netzwerkverkehr während des CO2 armen Zeitfensters,Gigabyte,global,0,"0,2100",0,"0,2100",0,"0,2100",0,"0,2100",0,"1,1366"
Energieverbrauch Netzwerk während des CO2 armen Zeitfensters,Gigabyte,global,0,"0,0086",0,"0,0086",0,"0,0086",0,"0,0086",0,"0,0467"
CO2 Emissionen Netzwerk während des CO2 armen Zeitfensters,gCO2e,global,0,"1,7247",0,"1,7247",0,"1,7246",0,"1,7248",0,"9,3336"
restlicher Netzwerkverkehr,Gigabyte,global,"0,1844","0,0971","0,2199","0,0991","0,2200","0,1014","0,2533","0,1037","2,4818","0,6175"
restlicher Energieverbrauch,Gigabyte,global,"0,0076","0,0040","0,0090","0,0041","0,0090","0,0042","0,0104","0,0043","0,1019","0,0254"
restliche CO2 Emissionen,gCO2e,global,"2,2709","1,1956","2,7088","1,2206","2,7105","1,2495","3,1207","1,2774","30,5708","7,6064"
Gesamter Netzwerkverkehr,Gigabyte,global,"0,1844","0,3071","0,2199","0,3091","0,2200","0,3115","0,2533","0,3137","2,4818","1,7541"
Energieverbrauch Netzwerk,Kilowattstunde,global,"0,0076","0,0126","0,0090","0,0127","0,0090","0,0128","0,0104","0,0129","0,1019","0,0720"
CO2 Emissionen Netzwerk,gCO2e,global,"2,2709","2,9203","2,7088","2,9452","2,7105","2,9742","3,1207","3,0022","30,5708","16,9399"
Energieverbrauch Hardware Komponenten während des CO2 armen Zeitfensters,Milliwattstunde,Maschine,0,"54,7515",0,"54,5526",0,"54,2889",0,"54,9950",0,"59,8716"
Energieverbrauch Hardware Komponenten während des CO2 armen Zeitfensters,Kilowattstunde,Maschine,0,"0,0001",0,"0,0001",0,"0,0001",0,"0,0001",0,"0,0001"
CO2 Emissionen Hardware Komponenten während des CO2 armen Zeitfensters,gCO2e,Maschine,0,"0,0110",0,"0,0109",0,"0,0109",0,"0,0110",0,"0,0120"
restlicher Energieverbrauch Hardware Komponenten,Kilowattstunde,Maschine,"0,0011","0,0011","0,0014","0,0013","0,0025","0,0024","0,0035","0,0035","0,0012","0,0011"
restliche CO2 Emissionen Hardware Komponenten,gCO2e,Maschine,"0,3330","0,3166","0,4110","0,3963","0,7358","0,7205","1,0598","1,0485","0,3558","0,3372"
Energie aller Hardware Komponenten,Kilowattstunde,Maschine,"0,0011","0,0011","0,0014","0,0014","0,0025","0,0025","0,0035","0,0035","0,0012","0,0012"
CO2 Emissionen Maschine,gCO2e,Maschine,"0,3330","0,3276","0,4110","0,4072","0,7358","0,7314","1,0598","1,0595","0,3558","0,3492"
Gesamte CO2 Emissionen (Maschine + Netzwerk),gCO2e,global,"2,6038","3,2370","3,1198","3,3415","3,4463","3,6947","4,1805","4,0507","30,9266","17,2772"