Metrik,Einheit,Scope/Bereich,1 Zyklus Klassik,1 Zyklus Konzept,10 Zyklen Klassik,10 Zyklen Konzept,20 Zyklen Klassik,20 Zyklen Konzept,30 Zyklen Klassik,30 Zyklen Konzept,1 Zyklus größere Bilddateien Klassik,1 Zyklus größere Bilddateien Konzept
Dauer der Laufzeit,Sekunder,,210.44,210.62,244.64,245.19,436.4,436.58,628.1,628.27,218.86,218.77
Leistung aller Hardware Komponenten,Watt,Maschine,18.99,18.98,20.16,20.2,20.23,20.25,20.31,20.34,19.5,19.48
Leistung des Backend Container,Watt,container,0.91,0.77,1.16,0.3,1.1,0.23,1.03,0.2,1.69,1.3
Leistung des Datenbank Container,Watt,container,1,0.89,0.31,0.29,0.29,0.28,0.29,0.27,0.52,0.48
Leistung des Frontend Container,Watt,container,0.17,0.19,0.22,0.07,0.22,0.05,0.22,0.04,0.58,0.41
Leistung des Testrunner Container,Watt,container,12.87,13.28,17.26,18.32,17.48,18.57,17.61,18.72,14.88,15.24
Leistung - Overhead Messtool,Watt,,4.03,3.85,1.21,1.22,1.14,1.13,1.17,1.11,2.03,2.05
Energie aller Hardware Komponenten,Milliwattstunde,Maschine,1103.84,1110.23,1370.11,1375.52,2452.89,2455.99,3532.79,3549.98,1185.97,1183.97
Energie des Backend Container,Milliwattstunde,container,53.18,45.1,78.59,20.36,133.1,27.7,178.38,34.95,102.7,78.83
Energie des Datenbank Container,Milliwattstunde,container,58.63,51.8,21.29,19.77,35.39,33.58,50.04,47.71,31.67,28.48
Energie des Frontend Container,Milliwattstunde,container,9.96,11.04,15.11,4.64,26.84,5.82,38.71,7.02,35.54,24.88
Energie des Testrunner Container,Milliwattstunde,container,752.28,777,1173.2,1247.52,2118.72,2251.32,3063,3266.4,892.81,928.34
Energie - Overhead Messtool,Milliwattstunde,,235.79,225.3,81.92,83.24,138.84,137.37,202.66,193.91,123.46,124.44
Gesamter netzwerkübertragung,Megabyte,global,7959.29,12629,8267.92,12691.73,9034.83,12788.14,10432.44,12891.89,10193.23,73023.46
Gesamter additiver netzwerkverkehr,Megabyte,global,184.35,307.98,219.9,309.1,220.04,311.45,253.34,313.73,2481.76,1754.05
Netzwerkverkehr des Backend Container,Megabyte,container,45.78,76.22,51.46,76.73,57.72,77.31,67.66,77.89,618.87,438.28
Netzwerkverkehr des Datenbank Container,Megabyte,container,0.25,0.14,20.6,0.29,4.08,0.47,6.13,0.66,0.25,0.14
Netzwerkverkehr des Frontend Container,Megabyte,container,91.64,153.12,98.29,153.93,105.56,154.87,120.11,155.77,1240.34,878.2
Netzwerkverkehr des Testrunner Container,Megabyte,container,46.68,77.6,49.55,78.15,52.68,78.8,59.44,79.41,622.3,441.02
Memory Nutzung des Backend Container,Megabyte,container,19.98,19.1,23.13,19.27,23.84,21.38,24.79,21.36,19.17,19.19
Memory Nutzung des Datenbank Container,Megabyte,container,53.28,52.86,54.91,54.75,55.17,54.99,55.28,55.11,53.43,52.87
Memory Nutzung des Frontend Container,Megabyte,container,4.45,4.43,4.51,4.42,4.6,4.45,4.59,4.45,4.45,4.45
Memory Nutzung des Testrunner Container,Megabyte,container,428.27,519.76,537.99,628.85,592.7,670.28,654.4,678.88,903.35,1139.85
Memory - Overhead Messtool,Megabyte,,467.8,528.84,602.18,601.58,727.08,604.24,728.14,644.54,724.38,787.16
Backend: Verarbeitete Anfragen,Anfragen,container,271,157,2686,382,5333,632,8010,882,271,157
Backend Antworten: Status 200,Anfragen,container,98,144,126,171,156,201,191,231,201,150
Backend Antworten: Status 304,Anfragen,container,172,13,2560,211,5177,431,7819,651,70,7
Backend Antworten: Status 4xx,Anfragen,container,0,0,0,0,0,0,0,0,0,0
Backend Antworten: Status 5xx,Anfragen,container,0,0,0,0,0,0,0,0,0,0
Backend: Anfragen durch Service Worker,Anfragen,container,N/A,95,N/A,95,N/A,95,N/A,95,N/A,95
Service Worker: Bearbeitete Anfragen,Anfragen,Service Worker,N/A,329,N/A,3199,N/A,6363,N/A,9560,N/A,337
Service Worker: Cache Treffer (Hits),Anfragen,Service Worker,N/A,209,N/A,2396,N/A,4802,N/A,7208,N/A,216
Service Worker: Cache Fehlschläge (Misses),Anfragen,Service Worker,N/A,120,N/A,803,N/A,1561,N/A,2322,N/A,121
Service Worker: Cache Hit Rate,Prozent,Service Worker,N/A,63.53%,N/A,74.90%,N/A,75.47%,N/A,75.71%,N/A,64.09%